Alpha-3 code,CountryName_CN,Numeric,Year,SDI,SDI_Economy,SDI_Society,SDI_Resource,SDI_Ecology,SDI_Economy_TwoStage,SDI_Society_TwoStage,SDI_Resource_TwoStage,SDI_Ecology_TwoStage,SDI_TwoStage,rank_global_critic,rank_two_stage,rank_change_two_stage_minus_global,abs_rank_change,sdi_difference
ZWE,津巴布韦,716,2011,0.4536580400649709,0.2874111060778303,0.35362376886519703,0.4346698115084092,0.6057288370339358,0.2915266509631579,0.3595285089767967,0.4356384767663447,0.6085435581090377,0.4238092987038342,23.0,27.0,4.0,4.0,-0.029848741361136688
ZWE,津巴布韦,716,2012,0.4672800782934282,0.3054132779805983,0.3874357253131578,0.44973919154388636,0.6005877652537169,0.30966246628826233,0.39132792681950634,0.45021437658404795,0.6029120382628299,0.43852920198866163,19.0,21.0,2.0,2.0,-0.02875087630476658
ZWE,津巴布韦,716,2013,0.4792406319060112,0.2885808142427901,0.4246696408151327,0.45114905790417587,0.6085734506660518,0.29225913010536875,0.430789026479934,0.4515845061190991,0.6109406778566019,0.4463933351402509,17.0,20.0,3.0,3.0,-0.03284729676576026
ZWE,津巴布韦,716,2014,0.47892096068681966,0.29332688783917915,0.4162047215021722,0.4485630578407401,0.6143178728513752,0.29710743166674347,0.42256978108390614,0.4489338963515652,0.6172529196100361,0.44646600717806273,17.0,23.0,6.0,6.0,-0.032454953508756934
ZWE,津巴布韦,716,2015,0.47532157126488833,0.29494409469199184,0.4107175198577007,0.4516884339994733,0.6064925522220479,0.29884438134075714,0.41681463291769805,0.45196853838929113,0.6087208249921905,0.4440870944099842,21.0,23.0,2.0,2.0,-0.03123447685490416
ZWE,津巴布韦,716,2016,0.4833881718778295,0.30343336439726126,0.42191954167156226,0.4579052918437818,0.6129312528199395,0.3070368607557332,0.4284448367524202,0.4583396691326659,0.6158520237421435,0.45241834759574073,21.0,23.0,2.0,2.0,-0.030969824282088776
ZWE,津巴布韦,716,2017,0.4844050881603414,0.26983648036514163,0.4408470479870768,0.45614423919392866,0.6135718759239074,0.27250595574890013,0.44715031699595403,0.45658027128150025,0.6166572127566305,0.44822343919574625,21.0,23.0,2.0,2.0,-0.03618164896459514
ZWE,津巴布韦,716,2018,0.4856329823857183,0.29683873105627145,0.43674979413272924,0.46405727640489947,0.6059395113461987,0.3009979651801117,0.4435786020243386,0.46439908185786916,0.6082935937821712,0.45431731071112263,20.0,24.0,4.0,4.0,-0.031315671674595646
ZWE,津巴布韦,716,2019,0.47573915120122584,0.24505318620946184,0.42633057052797646,0.4562778980410907,0.6104162023434586,0.244497812446753,0.4341436015607058,0.45691264125757236,0.613254875481224,0.4372022326865638,23.0,31.0,8.0,8.0,-0.038536918514662066
ZWE,津巴布韦,716,2020,0.4779682190863888,0.20852185787812874,0.44283015966202416,0.4516527743160818,0.6190602706716063,0.2060082285732838,0.4506753117220444,0.4524022891620732,0.622800236483084,0.43297151648512133,24.0,32.0,8.0,8.0,-0.04499670260126748
